Nome,Endereço,Latitude,Longitude,Avaliação,Total de Avaliações,Telefone,Website,Categorias,Place ID,Link Google Maps,Horário de Funcionamento
Movimento Sistemas de Gestão - Sistema ERP para empresas que desejam Evoluir sua gestão.,"Av. Afonso Pena, 1610 - Nossa Sra. Aparecida, Uberlândia - MG, 38400-706, Brasil",-18.9097089,-48.2712803,4.9,59.0,(34) 3257-2433,https://www.movimentosistemas.com.br/,"finance, point_of_interest, establishment",ChIJGxij4lNPpJQRaMmJ3jufE1A,https://maps.google.com/?cid=5770130627077196136,segunda-feira: 08:00 – 18:00 | terça-feira: 08:00 – 18:00 | quarta-feira: 08:00 – 18:00 | quinta-feira: 08:00 – 18:00 | sexta-feira: 08:00 – 18:00 | sábado: Fechado | domingo: Fechado
SysTech,"R. João Furlaneto - Santa Mônica, Uberlândia - MG, 38408-120, Brasil",-18.922426,-48.26083999999999,5.0,1.0,(34) 98410-9464,https://systech-solutions.netlify.app/,"point_of_interest, establishment",ChIJGfaeavtFpJQR7iUFcs5jw6c,https://maps.google.com/?cid=12088615563119896046,segunda-feira: Atendimento 24 horas | terça-feira: Atendimento 24 horas | quarta-feira: Atendimento 24 horas | quinta-feira: Atendimento 24 horas | sexta-feira: Atendimento 24 horas | sábado: Atendimento 24 horas | domingo: Atendimento 24 horas
T10,"Rua - Av. Floriano Peixoto, 1615 - Nossa Sra. Aparecida, Uberlândia - MG, 38400-706, Brasil",-18.9096082,-48.27145849999999,5.0,3.0,(34) 98888-0420,https://t10.digital/,"point_of_interest, establishment",ChIJzytXtWhFpJQRBh8Sf-FhLF8,https://maps.google.com/?cid=6857963953705852678,segunda-feira: 07:00 – 20:00 | terça-feira: 07:00 – 20:00 | quarta-feira: 07:00 – 20:00 | quinta-feira: 07:00 – 20:00 | sexta-feira: 07:00 – 20:00 | sábado: Fechado | domingo: Fechado
DNA Soluções,"Alameda Babaçu, 151 - Aclimação, Uberlândia - MG, 38406-570, Brasil",-18.8745735,-48.23356649999999,4.6,22.0,(34) 3214-0015,http://www.dnasolucoes.com/,"point_of_interest, establishment",ChIJFVGh4lNPpJQRhBOsb4jjQQ4,https://maps.google.com/?cid=1027352365145789316,segunda-feira: 08:00 – 18:00 | terça-feira: 08:00 – 18:00 | quarta-feira: 08:00 – 18:00 | quinta-feira: 08:00 – 18:00 | sexta-feira: 08:00 – 18:00 | sábado: 08:00 – 12:00 | domingo: Fechado
Udiponto Tecnologia,"R. Cel. Antônio Alves Pereira, 1396 - Saraiva, Uberlândia - MG, 38408-370, Brasil",-18.9216962,-48.2675644,5.0,164.0,(34) 4101-0904,http://www.udiponto.com.br/,"point_of_interest, establishment",ChIJG1MMRQNFpJQRw0RjF7aHJbE,https://maps.google.com/?cid=12764757934997718211,"segunda-feira: 08:00 – 12:00, 13:30 – 18:00 | terça-feira: 08:00 – 12:00, 13:30 – 18:00 | quarta-feira: 08:00 – 12:00, 13:30 – 18:00 | quinta-feira: 08:00 – 12:00, 13:30 – 18:00 | sexta-feira: 08:00 – 12:00, 13:30 – 18:00 | sábado: Fechado | domingo: Fechado"
iVendas Tecnologia em Informação LTDA,"Av. Paulo Gracindo, 15 - 2º piso, loja LSU-11 - Gávea, Uberlândia - MG, 38411-145, Brasil",-18.9569252,-48.2764268,4.3,52.0,(34) 3221-8838,,"point_of_interest, establishment",ChIJP9vHUypFpJQRdsqrxXZ2Hkk,https://maps.google.com/?cid=5268778866564647542,segunda-feira: 07:30 – 18:00 | terça-feira: 07:30 – 18:00 | quarta-feira: 07:30 – 18:00 | quinta-feira: 07:30 – 18:00 | sexta-feira: 07:30 – 18:00 | sábado: Fechado | domingo: Fechado
Ls Software,"Av. Castela - Laranjeiras, Uberlândia - MG, 38410-727, Brasil",-18.9636877,-48.2487297,5.0,1.0,(34) 99246-1158,,"point_of_interest, establishment",ChIJOesP6LJbpJQRYbAMQob8Wm0,https://maps.google.com/?cid=7879888151602049121,segunda-feira: 09:00 – 22:00 | terça-feira: 09:00 – 22:00 | quarta-feira: 09:00 – 22:00 | quinta-feira: 09:00 – 22:00 | sexta-feira: 09:00 – 22:00 | sábado: 09:00 – 22:00 | domingo: Fechado
Lity Tecnologia,"Av. Nicomedes Alves dos Santos, 1205 - Sala 215A - Vigilato Pereira, Uberlândia - MG, 38408-447, Brasil",-18.9331204,-48.2748728,5.0,7.0,(34) 99916-0860,https://www.lity.com.br/,"point_of_interest, establishment",ChIJVVUVEBxFpJQR8VQbDOOcEXQ,https://maps.google.com/?cid=8363638481978348785,segunda-feira: Atendimento 24 horas | terça-feira: Atendimento 24 horas | quarta-feira: Atendimento 24 horas | quinta-feira: Atendimento 24 horas | sexta-feira: Atendimento 24 horas | sábado: Atendimento 24 horas | domingo: Atendimento 24 horas
Tática Solutions,"Av. João Naves de Ávila, 507 - 3º Andar - Sala 03 - Centro, Uberlândia - MG, 38400-097, Brasil",-18.91487,-48.2690111,4.9,14.0,(34) 3214-7661,http://www.taticasolutions.com.br/,"point_of_interest, establishment",ChIJCd7z11VEpJQRP4e24GvaWT8,https://maps.google.com/?cid=4564919854183122751,"segunda-feira: 08:00 – 12:00, 14:00 – 18:00 | terça-feira: 08:00 – 12:00, 14:00 – 18:00 | quarta-feira: 08:00 – 12:00, 14:00 – 18:00 | quinta-feira: 08:00 – 12:00, 14:00 – 18:00 | sexta-feira: 08:00 – 12:00, 14:00 – 18:00 | sábado: Fechado | domingo: Fechado"
Mitra Tecnologia,"Av. Uirapuru, 840 - Cidade Jardim, Uberlândia - MG, 38412-166, Brasil",-18.9434299,-48.2924762,4.9,16.0,,https://mitraecp.com/,"point_of_interest, establishment",ChIJYxTOoNtFpJQRqJXmb7FIMks,https://maps.google.com/?cid=5418473228603921832,segunda-feira: 08:00 – 18:00 | terça-feira: 08:00 – 18:00 | quarta-feira: 08:00 – 18:00 | quinta-feira: 08:00 – 18:00 | sexta-feira: 08:00 – 18:00 | sábado: Fechado | domingo: Fechado
